26127 	Oceana County 	Michigan 	26,245 		
26129 	Ogemaw County 	Michigan 	21,234 		
26131 	Ontonagon County 	Michigan 	6,322 		
26133 	Osceola County 	Michigan 	23,259 		
26135 	Oscoda County 	Michigan 	8,379 		
26137 	Otsego County 	Michigan 	24,129 		
26141 	Presque Isle County 	Michigan 	13,062 		
26143 	Roscommon County 	Michigan 	24,014 		
26151 	Sanilac County 	Michigan 	41,823 		
26153 	Schoolcraft County 	Michigan 	8,247 		
26157 	Tuscola County 	Michigan 	54,263 		
27001 	Aitkin County 	Minnesota 	15,742 		
27005 	Becker County 	Minnesota 	33,231 		
27011 	Big Stone County 	Minnesota 	5,122 		
27023 	Chippewa County 	Minnesota 	12,093 		
27029 	Clearwater County 	Minnesota 	8,838 		
27031 	Cook County 	Minnesota 	5,200 		
27033 	Cottonwood County 	Minnesota 	11,616 		
27043 	Faribault County 	Minnesota 	14,191 		
27051 	Grant County 	Minnesota 	5,989 		
27057 	Hubbard County 	Minnesota 	20,658 		
27061 	Itasca County 	Minnesota 	45,564 		
27063 	Jackson County 	Minnesota 	10,260 		
27065 	Kanabec County 	Minnesota 	15,996 		
27069 	Kittson County 	Minnesota 	4,503 		
27071 	Koochiching County 	Minnesota 	13,206 		
27073 	Lac qui Parle County 	Minnesota 	7,027 		
27075 	Lake County 	Minnesota 	10,777 		
27077 	Lake of the Woods County 	Minnesota 	3,929 		
27081 	Lincoln County 	Minnesota 	5,830 		
27087 	Mahnomen County 	Minnesota 	5,532 		
27089 	Marshall County 	Minnesota 	9,425 		
27091 	Martin County 	Minnesota 	20,422 		
27093 	Meeker County 	Minnesota 	23,119 		
27097 	Morrison County 	Minnesota 	32,872 		
27101 	Murray County 	Minnesota 	8,533 		
27107 	Norman County 	Minnesota 	6,631 		
27113 	Pennington County 	Minnesota 	14,118 		
27115 	Pine County 	Minnesota 	29,104 		
27117 	Pipestone County 	Minnesota 	9,270 		
27121 	Pope County 	Minnesota 	10,932 		
27125 	Red Lake County 	Minnesota 	4,057 		
27127 	Redwood County 	Minnesota 	15,744 		
27129 	Renville County 	Minnesota 	15,166 		
27133 	Rock County 	Minnesota 	9,520 		
27135 	Roseau County 	Minnesota 	15,520 		
27149 	Stevens County 	Minnesota 	9,735 		
27151 	Swift County 	Minnesota 	9,546 		
27153 	Todd County 	Minnesota 	24,382 		
27155 	Traverse County 	Minnesota 	3,445 		
27159 	Wadena County 	Minnesota 	13,804 		
27161 	Waseca County 	Minnesota 	19,098 		
27165 	Watonwan County 	Minnesota 	11,137 		
27173 	Yellow Medicine County 	Minnesota 	10,143 		
28007 	Attala County 	Mississippi 	19,317 		
28013 	Calhoun County 	Mississippi 	14,734 		
